dataset,rtimeinst,rtime3,rtime2000
openstack,85.240024,28.413341,0.047994
openstack,7.484807,2.494936,0.003948
openstack,98.17551,32.72517,0.053995
openstack,109.647526,36.549175,0.057222
openstack,125.742502,41.914167,0.066628
openstack,7.679814,2.559938,0.004126
openstack,104.08519,34.695063,0.056169
openstack,92.892877,30.964292,0.051677
openstack,83.545432,27.848477,0.045979
openstack,8.12753,2.709177,0.004326
openstack,71.853479,23.95116,0.039693
openstack,113.41603,37.805343,0.05993
openstack,78.198451,26.06615,0.043074
openstack,81.72633,27.24211,0.045276
openstack,82.806781,27.60226,0.045623
openstack,89.316036,29.772012,0.050009
openstack,99.492104,33.164035,0.053292
openstack,91.421451,30.473817,0.048806
openstack,94.802104,31.600701,0.049265
openstack,100.073476,33.357825,0.053558
openstack,59.77085,19.923617,0.032969
openstack,98.411905,32.803968,0.052945
openstack,99.360077,33.120026,0.053198
openstack,82.048215,27.349405,0.044519
openstack,91.128893,30.376298,0.04992
openstack,86.071571,28.690524,0.048113
openstack,39.610656,13.203552,0.021844
openstack,114.070157,38.023386,0.06105
openstack,93.428652,31.142884,0.049188
openstack,90.521063,30.173688,0.048912
openstack,99.550309,33.183436,0.052314
openstack,96.028063,32.009354,0.050826
openstack,71.694287,23.898096,0.039027
openstack,60.067714,20.022571,0.033247
openstack,64.174032,21.391344,0.033876
openstack,103.769055,34.589685,0.05524
openstack,88.428664,29.476221,0.048904
openstack,56.288796,18.762932,0.031259
openstack,104.660582,34.886861,0.055639
openstack,47.053221,15.684407,0.026132
openstack,94.481937,31.493979,0.050993
openstack,75.527351,25.175784,0.042072
openstack,85.305235,28.435078,0.045649
openstack,68.130028,22.710009,0.03824
openstack,86.710743,28.903581,0.048721
openstack,62.185623,20.728541,0.034363
openstack,87.39595,29.131983,0.045845
openstack,60.405727,20.135242,0.032847
openstack,105.414986,35.138329,0.056521
openstack,91.682673,30.560891,0.050535
openstack,79.384516,26.461505,0.042892
openstack,88.728071,29.576024,0.05041
openstack,100.035212,33.345071,0.053219
openstack,59.435808,19.811936,0.031548
openstack,121.605275,40.535092,0.062651
openstack,118.459595,39.486532,0.064183
openstack,85.320709,28.440236,0.046647
openstack,52.562521,17.52084,0.030209
openstack,76.889532,25.629844,0.04231
openstack,35.451076,11.817025,0.019817
openstack,8.943221,2.981074,0.00509
openstack,103.648699,34.549566,0.057036
openstack,9.538698,3.179566,0.005088
openstack,87.988913,29.329638,0.049116
openstack,104.110357,34.703452,0.057416
openstack,69.502814,23.167605,0.03841
openstack,124.743762,41.581254,0.064632
openstack,101.003064,33.667688,0.05463
openstack,114.482044,38.160681,0.060005
openstack,106.520282,35.506761,0.058466
openstack,111.504076,37.168025,0.061014
openstack,116.477849,38.82595,0.062358
openstack,102.077339,34.02578,0.056695
openstack,109.318323,36.439441,0.05816
openstack,83.458211,27.819404,0.044753
openstack,109.721718,36.573906,0.060102
openstack,99.60991,33.203303,0.054961
openstack,109.851501,36.617167,0.060196
openstack,73.616604,24.538868,0.037866
openstack,122.970911,40.990304,0.065867
openstack,100.583091,33.527697,0.055309
openstack,110.623795,36.874598,0.060851
openstack,117.768229,39.256076,0.063479
openstack,107.545768,35.848589,0.057432
openstack,115.597802,38.532601,0.062308
openstack,104.130052,34.710017,0.054459
openstack,113.646503,37.882168,0.06198
openstack,130.78017,43.59339,0.068971
openstack,94.476256,31.492085,0.049717
openstack,124.468535,41.489512,0.066687
openstack,122.410311,40.803437,0.063495
openstack,115.906302,38.635434,0.06139
openstack,126.440334,42.146778,0.067748
openstack,128.297852,42.765951,0.069886
openstack,119.41372,39.804573,0.065373
openstack,106.430393,35.476798,0.056368
openstack,65.492149,21.830716,0.036467
openstack,107.952272,35.984091,0.059637
openstack,8.66685,2.88895,0.004615
openstack,127.525298,42.508433,0.070346
openstack,99.608418,33.202806,0.055306
openstack,82.657654,27.552551,0.046004
openstack,124.105266,41.368422,0.065431
openstack,127.339642,42.446547,0.067988
openstack,114.229794,38.076598,0.06117
openstack,49.254551,16.418184,0.027897
openstack,85.051131,28.350377,0.047073
openstack,86.485607,28.828536,0.047347
openstack,85.202804,28.400935,0.048378
openstack,71.681129,23.89371,0.040522
openstack,90.740757,30.246919,0.051163
openstack,110.83361,36.944537,0.059202
openstack,101.655047,33.885016,0.056183
openstack,75.754701,25.251567,0.042388
openstack,86.688637,28.896212,0.046851
openstack,72.07966,24.026553,0.041634
openstack,99.385787,33.128596,0.055212
openstack,81.511514,27.170505,0.046007
openstack,124.80547,41.601823,0.067117
openstack,80.463433,26.821144,0.042854
openstack,64.381109,21.46037,0.036308
openstack,31.36985,10.456617,0.017351
openstack,118.970936,39.656979,0.065779
openstack,86.680711,28.89357,0.047246
openstack,88.923141,29.641047,0.04694
openstack,120.762439,40.254146,0.062893
qt,97.78085,32.593617,0.055139
qt,83.787419,27.92914,0.048863
qt,83.400961,27.80032,0.048273
qt,119.111043,39.703681,0.063287
qt,68.316571,22.77219,0.042299
qt,72.329278,24.109759,0.044055
qt,64.48849,21.496163,0.037883
qt,58.151129,19.38371,0.034777
qt,64.228654,21.409551,0.038076
qt,83.398819,27.799606,0.048293
qt,110.388056,36.796019,0.057393
qt,84.778523,28.259508,0.048776
qt,129.439047,43.146349,0.071337
qt,32.486194,10.828731,0.019477
qt,60.590581,20.19686,0.035556
qt,107.635749,35.878583,0.05705
qt,70.877769,23.625923,0.041004
qt,85.716906,28.572302,0.048772
qt,81.28225,27.094083,0.046745
qt,72.862686,24.287562,0.042099
qt,65.219843,21.739948,0.038583
qt,141.493401,47.164467,0.076697
qt,79.923522,26.641174,0.043999
qt,187.935572,62.645191,0.102356
qt,105.15496,35.051653,0.056804
qt,49.945807,16.648602,0.029463
qt,93.581371,31.19379,0.050127
qt,36.820191,12.273397,0.021736
qt,65.879785,21.959928,0.036853
qt,107.672335,35.890778,0.057858
qt,70.821391,23.60713,0.041492
qt,122.919508,40.973169,0.066233
qt,87.878925,29.292975,0.048215
qt,70.053707,23.351236,0.04081
qt,62.878123,20.959374,0.036978
qt,128.958669,42.986223,0.067421
qt,73.578755,24.526252,0.042408
qt,74.490897,24.830299,0.043159
qt,7.760475,2.586825,0.004572
qt,66.661251,22.220417,0.038755
qt,52.750963,17.583654,0.032355
qt,36.461439,12.153813,0.02144
qt,74.024508,24.674836,0.042336
qt,8.353498,2.784499,0.004972
qt,75.642915,25.214305,0.042393
qt,70.77331,23.591103,0.041165
qt,7.963073,2.654358,0.004712
qt,7.779155,2.593052,0.004585
qt,65.724358,21.908119,0.037369
qt,166.543599,55.514533,0.092011
qt,67.429269,22.476423,0.038659
qt,36.124039,12.041346,0.021008
qt,105.589216,35.196405,0.05437
qt,104.280943,34.760314,0.059575
qt,44.543073,14.847691,0.026606
qt,96.586091,32.195364,0.059674
qt,80.864057,26.954686,0.046093
qt,205.155102,68.385034,0.112333
qt,129.700671,43.233557,0.067719
qt,73.698697,24.566232,0.042648
qt,86.926487,28.975496,0.048716
qt,175.328687,58.442895,0.095706
qt,103.403599,34.467866,0.053479
qt,71.473105,23.824368,0.040659
qt,112.496382,37.498794,0.062016
qt,76.651265,25.550422,0.044487
qt,74.806892,24.935631,0.043327
qt,73.102372,24.367457,0.042215
qt,158.135677,52.711892,0.086305
qt,129.102673,43.034224,0.071765
qt,70.501695,23.500565,0.040072
