dataset,rtimeinst,rtime3,rtime2000
openstack,40.2953,13.431767,0.020372
openstack,38.112796,12.704265,0.01947
openstack,40.643914,13.547971,0.020756
openstack,43.083092,14.361031,0.021934
openstack,31.39819,10.466063,0.016007
openstack,39.272999,13.091,0.01977
openstack,41.398386,13.799462,0.020802
openstack,10.269653,3.423218,0.005183
openstack,41.16009,13.72003,0.020915
openstack,36.108336,12.036112,0.018186
openstack,38.164714,12.721571,0.019562
openstack,40.416925,13.472308,0.020759
openstack,39.336935,13.112312,0.020009
openstack,42.292609,14.097536,0.021283
openstack,42.282542,14.094181,0.02143
openstack,38.368354,12.789451,0.019299
openstack,37.513349,12.50445,0.018903
openstack,41.002007,13.667336,0.020625
openstack,47.225527,15.741842,0.024174
openstack,36.518751,12.172917,0.018718
openstack,9.181643,3.060548,0.004633
openstack,36.802037,12.267346,0.018651
openstack,35.740164,11.913388,0.018046
openstack,40.035939,13.345313,0.020515
openstack,33.761556,11.253852,0.017318
openstack,43.320792,14.440264,0.021705
openstack,38.731912,12.910637,0.019733
openstack,36.550605,12.183535,0.01854
openstack,35.834601,11.944867,0.018277
openstack,34.297835,11.432612,0.017472
openstack,44.959404,14.986468,0.022753
openstack,33.937561,11.31252,0.017098
openstack,32.92475,10.974917,0.016812
openstack,42.988337,14.329446,0.021697
openstack,9.707103,3.235701,0.004884
openstack,19.940742,6.646914,0.010159
openstack,44.591657,14.863886,0.022637
openstack,39.34657,13.115523,0.019963
openstack,24.360222,8.120074,0.012305
openstack,41.862248,13.954083,0.021245
openstack,9.975941,3.325314,0.005038
openstack,8.873171,2.957724,0.004483
openstack,36.625731,12.208577,0.018624
openstack,47.63804,15.879347,0.024251
openstack,38.761473,12.920491,0.019552
openstack,42.030949,14.010316,0.021201
openstack,36.134005,12.044668,0.018163
openstack,38.441897,12.813966,0.019806
openstack,43.049736,14.349912,0.02176
openstack,56.071577,18.690526,0.028785
openstack,39.816621,13.272207,0.020338
openstack,33.838883,11.279628,0.017181
openstack,34.201759,11.400586,0.01717
openstack,40.50271,13.500903,0.020513
openstack,39.22468,13.074893,0.019907
openstack,36.533583,12.177861,0.018526
openstack,44.499985,14.833328,0.022616
openstack,41.174628,13.724876,0.020733
openstack,35.773652,11.924551,0.018223
openstack,38.585269,12.861756,0.019375
openstack,32.550758,10.850253,0.016471
openstack,38.826421,12.94214,0.019697
openstack,37.384977,12.461659,0.019104
openstack,36.189882,12.063294,0.018403
openstack,35.44743,11.81581,0.017964
openstack,34.962675,11.654225,0.017917
openstack,23.564366,7.854789,0.011957
openstack,31.477333,10.492444,0.016089
openstack,33.379789,11.126596,0.017048
openstack,34.775835,11.591945,0.017604
openstack,37.987444,12.662481,0.01931
openstack,9.160601,3.053534,0.004653
openstack,30.1235,10.041167,0.015385
openstack,43.482493,14.494164,0.022274
openstack,38.875509,12.958503,0.019714
openstack,35.50231,11.834103,0.018058
openstack,38.334865,12.778288,0.019379
openstack,40.16167,13.387223,0.020273
openstack,33.890745,11.296915,0.017179
openstack,9.086214,3.028738,0.004647
openstack,38.667785,12.889262,0.019659
openstack,40.518602,13.506201,0.020529
openstack,32.705846,10.901949,0.016782
openstack,33.694445,11.231482,0.017039
openstack,36.813732,12.271244,0.018859
openstack,36.855134,12.285045,0.018646
openstack,21.04342,7.014473,0.010574
openstack,33.74412,11.24804,0.017198
openstack,29.680481,9.893494,0.015296
openstack,32.750353,10.916784,0.016628
openstack,54.520286,18.173429,0.027485
openstack,39.056352,13.018784,0.01987
openstack,33.19303,11.064343,0.016965
openstack,44.119367,14.706456,0.022505
openstack,32.681411,10.893804,0.016638
openstack,34.633293,11.544431,0.017466
openstack,40.857798,13.619266,0.020678
openstack,43.192966,14.397655,0.021758
openstack,35.497237,11.832412,0.018022
openstack,34.348082,11.449361,0.017427
openstack,39.774173,13.258058,0.020043
openstack,39.106289,13.03543,0.019855
openstack,9.009544,3.003181,0.004537
openstack,36.738619,12.246206,0.01873
openstack,35.237256,11.745752,0.017904
openstack,38.730156,12.910052,0.019541
openstack,35.04321,11.68107,0.018101
qt,30.155611,10.05187,0.015288
qt,58.841171,19.613723,0.02956
qt,50.431754,16.810585,0.025268
qt,37.54859,12.516197,0.018945
qt,9.622152,3.207384,0.004884
qt,46.156779,15.385593,0.023412
qt,32.192115,10.730705,0.016572
qt,45.874081,15.29136,0.023069
qt,26.27714,8.759047,0.013294
qt,44.59778,14.865927,0.022383
qt,39.222207,13.074069,0.019734
qt,36.489149,12.16305,0.018572
qt,18.361575,6.120525,0.009491
qt,8.81954,2.939847,0.004439
qt,8.708578,2.902859,0.004409
qt,30.338991,10.112997,0.0152
qt,32.871926,10.957309,0.016465
qt,39.064314,13.021438,0.019596
qt,36.135938,12.045313,0.0181
qt,37.946586,12.648862,0.019092
qt,8.415189,2.805063,0.004273
qt,23.053758,7.684586,0.011897
qt,37.727141,12.575714,0.019078
qt,50.827158,16.942386,0.025913
qt,21.313943,7.104648,0.011127
qt,42.133942,14.044647,0.021265
qt,36.509282,12.169761,0.018314
qt,33.73563,11.24521,0.017318
qt,30.148481,10.049494,0.01533
qt,32.259532,10.753177,0.01607
qt,45.445676,15.148559,0.023257
qt,20.361437,6.787146,0.010765
qt,38.024117,12.674706,0.019055
qt,40.15893,13.38631,0.020237
qt,38.282707,12.760902,0.019283
qt,39.039202,13.013067,0.01967
qt,43.765612,14.588537,0.022108
qt,54.720005,18.240002,0.027763
qt,38.373008,12.791003,0.019733
qt,43.89148,14.630493,0.022196
qt,34.26836,11.422787,0.017352
qt,9.547991,3.182664,0.004868
qt,37.11772,12.372573,0.018685
qt,40.371485,13.457162,0.020493
qt,35.215105,11.738368,0.017864
qt,40.047872,13.349291,0.020104
qt,29.775129,9.925043,0.015016
qt,24.056321,8.018774,0.012277
qt,34.60979,11.536597,0.0176
qt,69.011922,23.003974,0.035947
qt,42.295116,14.098372,0.021314
qt,43.315074,14.438358,0.021854
qt,34.747785,11.582595,0.017437
qt,42.582105,14.194035,0.021456
qt,22.459186,7.486395,0.011493
qt,25.687006,8.562335,0.012885
qt,37.123181,12.374394,0.018701
qt,43.395746,14.465249,0.022053
qt,33.523476,11.174492,0.016939
qt,50.29522,16.765073,0.025391
qt,43.514624,14.504875,0.021812
qt,28.459978,9.486659,0.014749
qt,41.399686,13.799895,0.020746
qt,31.040605,10.346868,0.015816
qt,25.588622,8.529541,0.013205
qt,36.935146,12.311715,0.018631
qt,39.988646,13.329549,0.020083
qt,46.107534,15.369178,0.023258
qt,34.896993,11.632331,0.017928
qt,7.877827,2.625942,0.004158
qt,31.832828,10.610943,0.016167
qt,36.275905,12.091968,0.018161
qt,35.476821,11.825607,0.01805
qt,29.280268,9.760089,0.015218
qt,40.333238,13.444413,0.021075
qt,8.597775,2.865925,0.004331
qt,47.409222,15.803074,0.023776
qt,39.143262,13.047754,0.01992
qt,32.058831,10.686277,0.016257
qt,37.43744,12.479147,0.018888
qt,22.693481,7.564494,0.011531
qt,38.663282,12.887761,0.01939
qt,27.646324,9.215441,0.014227
qt,33.176358,11.058786,0.016867
qt,38.557018,12.852339,0.019397
qt,34.650513,11.550171,0.017429
qt,21.102648,7.034216,0.010594
qt,37.739969,12.57999,0.018871
qt,30.312813,10.104271,0.015351
qt,9.444475,3.148158,0.004879
qt,42.037552,14.012517,0.021388
qt,44.424293,14.808098,0.022363
qt,35.700398,11.900133,0.018222
qt,37.779789,12.593263,0.018984
qt,33.564176,11.188059,0.01713
qt,37.760751,12.586917,0.018961
qt,34.437658,11.479219,0.01789
qt,21.922659,7.307553,0.011399
qt,42.906062,14.302021,0.022057
qt,21.313181,7.104394,0.010967
qt,44.915829,14.971943,0.022946
qt,36.447949,12.149316,0.01867
qt,9.338155,3.112718,0.004709
qt,38.50973,12.836577,0.019329
qt,9.421705,3.140568,0.004756
qt,25.031862,8.343954,0.012665
qt,33.309361,11.10312,0.016861
qt,31.103147,10.367716,0.015666
qt,37.61777,12.539257,0.019157
qt,33.57872,11.192907,0.016977
qt,38.169262,12.723087,0.019197
qt,38.270457,12.756819,0.019333
qt,35.175477,11.725159,0.017661
qt,41.609373,13.869791,0.020925
qt,35.97738,11.99246,0.018203
qt,9.295332,3.098444,0.004745
qt,29.839749,9.946583,0.015266
qt,43.342958,14.447653,0.021726
qt,41.980036,13.993345,0.020975
qt,40.921817,13.640606,0.02059
qt,37.393597,12.464532,0.019387
qt,40.39296,13.46432,0.020522
qt,36.105055,12.035018,0.018181
qt,37.441208,12.480403,0.018755
qt,37.915505,12.638502,0.018972
qt,41.990145,13.996715,0.021148
qt,36.646248,12.215416,0.018443
qt,34.526145,11.508715,0.017354
qt,29.393834,9.797945,0.015213
qt,48.292471,16.09749,0.024741
qt,24.96174,8.32058,0.01264
qt,38.160644,12.720215,0.019109
qt,49.122535,16.374178,0.025262
qt,36.550756,12.183585,0.018404
qt,30.878006,10.292669,0.016188
qt,39.799372,13.266457,0.020108
qt,36.547362,12.182454,0.018357
qt,28.179499,9.393166,0.014284
qt,38.506511,12.835504,0.019345
qt,34.010716,11.336905,0.017041
qt,28.105352,9.368451,0.014252
qt,35.733227,11.911075,0.018131
qt,28.774445,9.591482,0.014637
qt,30.742466,10.247489,0.015483
qt,10.119982,3.373327,0.005101
qt,36.534058,12.178019,0.018358
qt,32.76863,10.922877,0.016487
qt,53.677957,17.892652,0.027168
qt,41.452487,13.817496,0.020819
qt,33.697833,11.232611,0.017084
qt,29.981322,9.993774,0.015195
qt,20.361835,6.787278,0.010568
qt,39.456291,13.152097,0.019977
qt,36.098179,12.032726,0.018794
qt,10.234269,3.411423,0.005193
qt,38.520668,12.840223,0.019424
qt,39.187178,13.062393,0.019678
qt,39.281125,13.093708,0.019888
qt,21.10996,7.036653,0.010919
qt,36.846152,12.282051,0.018502
qt,36.44376,12.14792,0.018868
qt,38.974434,12.991478,0.019759
qt,34.596322,11.532107,0.017407
qt,36.873636,12.291212,0.018538
qt,9.064577,3.021526,0.004639
qt,29.885044,9.961681,0.01502
qt,42.320057,14.106686,0.021262
qt,40.838357,13.612786,0.020659
qt,37.665227,12.555076,0.018909
qt,8.733077,2.911026,0.004438
qt,42.049577,14.016526,0.021356
qt,43.247471,14.415824,0.021755
qt,38.758222,12.919407,0.019425
qt,9.294302,3.098101,0.00482
qt,33.357244,11.119081,0.016867
qt,39.049049,13.01635,0.019583
qt,39.747047,13.249016,0.019934
qt,39.881598,13.293866,0.01997
qt,32.958115,10.986038,0.016708
qt,37.103389,12.367796,0.018726
qt,34.208668,11.402889,0.01734
qt,9.562053,3.187351,0.004843
qt,40.134199,13.378066,0.020147
qt,32.783204,10.927735,0.016433
qt,29.11919,9.706397,0.01456
qt,36.542636,12.180879,0.01843
qt,40.643206,13.547735,0.020541
qt,37.063027,12.354342,0.018653
qt,30.557978,10.185993,0.015463
qt,84.670816,28.223605,0.042807
qt,37.886944,12.628981,0.019126
qt,36.057505,12.019168,0.018203
qt,36.924309,12.308103,0.018578
qt,30.44003,10.146677,0.015395
qt,34.905385,11.635128,0.017723
qt,38.813516,12.937839,0.019535
qt,38.428953,12.809651,0.019295
qt,33.889244,11.296415,0.017072
qt,41.216592,13.738864,0.020733
qt,38.039297,12.679766,0.01915
qt,29.613443,9.871148,0.015091
qt,35.077119,11.692373,0.017506
qt,46.368596,15.456199,0.023308
qt,9.704744,3.234915,0.004923
qt,8.725289,2.90843,0.004372
qt,9.69105,3.23035,0.004873
qt,43.581621,14.527207,0.021877
qt,34.642545,11.547515,0.017474
qt,26.405949,8.801983,0.013324
qt,39.392736,13.130912,0.019814
qt,39.462387,13.154129,0.019922
qt,29.357656,9.785885,0.014719
qt,47.267775,15.755925,0.023957
qt,38.655713,12.885238,0.019439
qt,8.959237,2.986412,0.004589
qt,41.061933,13.687311,0.020949
qt,8.425312,2.808437,0.004224
qt,38.591761,12.86392,0.019805
qt,40.810605,13.603535,0.020513
qt,9.660553,3.220184,0.00497
qt,8.658204,2.886068,0.004342
qt,40.661294,13.553765,0.020427
qt,43.630705,14.543568,0.021968
qt,32.153955,10.717985,0.016305
qt,39.731125,13.243708,0.019855
qt,35.442979,11.814326,0.017824
qt,41.520882,13.840294,0.020975
qt,31.921402,10.640467,0.016076
qt,8.46838,2.822793,0.004247
qt,34.691599,11.563866,0.017538
qt,39.237411,13.079137,0.019776
qt,34.209661,11.40322,0.017197
qt,33.41776,11.139253,0.016697
qt,31.676647,10.558882,0.016147
qt,36.088103,12.029368,0.018224
qt,37.521599,12.5072,0.018973
qt,8.797592,2.932531,0.004463
qt,10.106855,3.368952,0.005146
qt,34.475421,11.491807,0.017456
qt,40.829287,13.609762,0.020585
qt,36.421857,12.140619,0.018298
qt,40.176922,13.392307,0.020515
qt,39.887634,13.295878,0.020024
qt,38.223304,12.741101,0.01923
qt,34.428525,11.476175,0.017356
