dataset,rtimeinst,rtime
qt,0.0112,0.0112
qt,0.011416,0.011416
qt,0.011144,0.011144
qt,0.011344,0.011344
qt,0.011246,0.011246
qt,0.011202,0.011202
qt,0.011268,0.011268
qt,0.011273,0.011273
qt,0.011283,0.011283
qt,0.011169,0.011169
qt,0.011224,0.011224
qt,0.011299,0.011299
qt,0.011318,0.011318
qt,0.011099,0.011099
qt,0.011215,0.011215
qt,0.011164,0.011164
qt,0.011189,0.011189
qt,0.011306,0.011306
qt,0.011254,0.011254
qt,0.011279,0.011279
qt,0.011313,0.011313
qt,0.01122,0.01122
qt,0.0112,0.0112
qt,0.011249,0.011249
qt,0.011341,0.011341
qt,0.011325,0.011325
qt,0.011287,0.011287
qt,0.011308,0.011308
qt,0.011185,0.011185
qt,0.011307,0.011307
qt,0.011321,0.011321
