dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
qt,0.009752,0.002438,0.006441,0.00092
qt,0.002818,0.002818,0.006441,0.001288
qt,0.002806,0.002806,0.005249,0.00075
qt,0.005087,0.002544,0.003834,0.000767
qt,0.002723,0.002723,0.00299,0.000747
qt,0.007433,0.002478,0.011634,0.000831
qt,0.002708,0.002708,0.003606,0.000721
qt,0.021605,0.002401,0.018995,0.00095
qt,0.00743,0.002477,0.016031,0.002004
qt,0.002857,0.002857,0.005342,0.000763
qt,0.005174,0.002587,0.003754,0.000751
qt,0.0027,0.0027,0.003635,0.000727
qt,0.009692,0.002423,0.010186,0.000926
qt,0.002798,0.002798,0.002981,0.000745
qt,0.03752,0.002207,0.030021,0.001201
qt,0.002778,0.002778,0.002885,0.000721
qt,0.002714,0.002714,0.005835,0.001459
qt,0.018183,0.002273,0.013969,0.000931
qt,0.002644,0.002644,0.003589,0.000718
qt,0.002713,0.002713,0.003668,0.000734
qt,0.002744,0.002744,0.003622,0.000724
qt,0.007371,0.002457,0.006353,0.000794
qt,0.020284,0.002254,0.019525,0.001302
qt,0.00269,0.00269,0.002977,0.000744
qt,0.002785,0.002785,0.003686,0.000737
qt,0.00276,0.00276,0.003671,0.000734
qt,0.013045,0.013045,0.00486,0.000694
qt,0.002712,0.002712,0.004231,0.000705
qt,0.009679,0.00242,0.009921,0.000902
qt,0.002637,0.002637,0.00355,0.00071
qt,0.020075,0.002231,0.015489,0.001033
qt,0.002715,0.002715,0.003541,0.000708
qt,0.00267,0.00267,0.003568,0.000714
qt,0.00265,0.00265,0.003524,0.000705
qt,0.002634,0.002634,0.004174,0.000696
qt,0.002677,0.002677,0.003543,0.000709
qt,0.002605,0.002605,0.003524,0.000705
qt,0.002784,0.002784,0.003457,0.000691
qt,0.014242,0.002374,0.011549,0.000825
qt,0.005091,0.002545,0.003632,0.000726
qt,0.004951,0.002476,0.003786,0.000757
qt,0.002615,0.002615,0.003017,0.000754
qt,0.015218,0.002174,0.00782,0.000869
qt,0.008933,0.002233,0.009044,0.000822
qt,0.007451,0.002484,0.015044,0.001075
qt,0.002745,0.002745,0.003851,0.00077
qt,0.005084,0.002542,0.003809,0.000762
qt,0.002732,0.002732,0.005032,0.000719
qt,0.002772,0.002772,0.003683,0.000737
qt,0.002766,0.002766,0.003101,0.000775
qt,0.009635,0.002409,0.007595,0.000844
qt,0.00518,0.00259,0.005605,0.000801
qt,0.002651,0.002651,0.003729,0.000746
qt,0.00261,0.00261,0.002872,0.000718
qt,0.023986,0.002181,0.019356,0.001075
qt,0.004996,0.002498,0.003842,0.000768
qt,0.002688,0.002688,0.002868,0.000717
qt,0.002653,0.002653,0.003571,0.000714
qt,0.002845,0.002845,0.003559,0.000712
qt,0.002651,0.002651,0.003469,0.000694
qt,0.002693,0.002693,0.002898,0.000725
qt,0.002648,0.002648,0.002865,0.000716
qt,0.002714,0.002714,0.003537,0.000707
qt,0.023255,0.002325,0.021401,0.000973
qt,0.0026,0.0026,0.002915,0.000729
qt,0.002758,0.002758,0.00287,0.000717
qt,0.002655,0.002655,0.002904,0.000726
qt,0.011594,0.002319,0.009329,0.000933
qt,0.002668,0.002668,0.003533,0.000707
qt,0.002723,0.002723,0.002865,0.000716
qt,0.002629,0.002629,0.003524,0.000705
qt,0.009579,0.002395,0.008156,0.000816
